perturbation,severity,severity_unit,fold,model,train_rows,validation_rows,perturbation_seed,eligible_cells,affected_cells,affected_fraction,noise_std_bill_length_mm,noise_std_bill_depth_mm,accuracy,balanced_accuracy,macro_f1
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,3,knn,275,69,20342,136,0,0.0,0.0,0.0,0.956522,0.94127,0.94657
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,3,knn,275,69,20343,136,136,1.0,1.335175,0.505346,0.927536,0.906349,0.909513
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,3,knn,275,69,20344,136,136,1.0,2.670351,1.010692,0.869565,0.85746,0.851155
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,3,knn,275,69,20345,136,136,1.0,5.340702,2.021384,0.637681,0.592381,0.592842
missing_values,0.0,fraction_of_observed_validation_cells,4,logistic_regression,275,69,10442,138,0,0.0,,,0.884058,0.858095,0.856905
missing_values,0.1,fraction_of_observed_validation_cells,4,logistic_regression,275,69,10443,138,14,0.101449,,,0.826087,0.804762,0.797106
missing_values,0.25,fraction_of_observed_validation_cells,4,logistic_regression,275,69,10444,138,34,0.246377,,,0.811594,0.804127,0.78898
missing_values,0.5,fraction_of_observed_validation_cells,4,logistic_regression,275,69,10445,138,69,0.5,,,0.637681,0.653016,0.623066
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,4,logistic_regression,275,69,20442,138,0,0.0,0.0,0.0,0.884058,0.858095,0.856905
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,4,logistic_regression,275,69,20443,138,138,1.0,1.376288,0.499151,0.898551,0.879683,0.875924
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,4,logistic_regression,275,69,20444,138,138,1.0,2.752577,0.998303,0.84058,0.845714,0.8321
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,4,logistic_regression,275,69,20445,138,138,1.0,5.505153,1.996606,0.73913,0.710476,0.711275
missing_values,0.0,fraction_of_observed_validation_cells,4,knn,275,69,10442,138,0,0.0,,,0.971014,0.965079,0.965079
missing_values,0.1,fraction_of_observed_validation_cells,4,knn,275,69,10443,138,14,0.101449,,,0.913043,0.913968,0.899274
missing_values,0.25,fraction_of_observed_validation_cells,4,knn,275,69,10444,138,34,0.246377,,,0.855072,0.839683,0.833931
missing_values,0.5,fraction_of_observed_validation_cells,4,knn,275,69,10445,138,69,0.5,,,0.681159,0.650476,0.649126
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,4,knn,275,69,20442,138,0,0.0,0.0,0.0,0.971014,0.965079,0.965079
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,4,knn,275,69,20443,138,138,1.0,1.376288,0.499151,0.913043,0.880317,0.886325
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,4,knn,275,69,20444,138,138,1.0,2.752577,0.998303,0.797101,0.795238,0.781772
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,4,knn,275,69,20445,138,138,1.0,5.505153,1.996606,0.695652,0.649524,0.650443
missing_values,0.0,fraction_of_observed_validation_cells,5,logistic_regression,276,68,10542,136,0,0.0,,,0.955882,0.935385,0.940392
missing_values,0.1,fraction_of_observed_validation_cells,5,logistic_regression,276,68,10543,136,14,0.102941,,,0.926471,0.898632,0.902614
missing_values,0.25,fraction_of_observed_validation_cells,5,logistic_regression,276,68,10544,136,34,0.25,,,0.75,0.735214,0.721026
missing_values,0.5,fraction_of_observed_validation_cells,5,logistic_regression,276,68,10545,136,68,0.5,,,0.573529,0.563932,0.560791
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,5,logistic_regression,276,68,20542,136,0,0.0,0.0,0.0,0.955882,0.935385,0.940392
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,5,logistic_regression,276,68,20543,136,136,1.0,1.354337,0.482588,0.911765,0.897607,0.897607
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,5,logistic_regression,276,68,20544,136,136,1.0,2.708674,0.965176,0.941176,0.924274,0.930273
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,5,logistic_regression,276,68,20545,136,136,1.0,5.417347,1.930352,0.838235,0.818632,0.810793
missing_values,0.0,fraction_of_observed_validation_cells,5,knn,276,68,10542,136,0,0.0,,,0.955882,0.947692,0.942555
missing_values,0.1,fraction_of_observed_validation_cells,5,knn,276,68,10543,136,14,0.102941,,,0.926471,0.91094,0.906752
missing_values,0.25,fraction_of_observed_validation_cells,5,knn,276,68,10544,136,34,0.25,,,0.735294,0.719658,0.703455
missing_values,0.5,fraction_of_observed_validation_cells,5,knn,276,68,10545,136,68,0.5,,,0.558824,0.523761,0.536055
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,5,knn,276,68,20542,136,0,0.0,0.0,0.0,0.955882,0.947692,0.942555
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,5,knn,276,68,20543,136,136,1.0,1.354337,0.482588,0.941176,0.936581,0.931444
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,5,knn,276,68,20544,136,136,1.0,2.708674,0.965176,0.926471,0.898632,0.908443
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,5,knn,276,68,20545,136,136,1.0,5.417347,1.930352,0.823529,0.795214,0.792801
