target_class,retention_fraction,fold,model,resampling_seed,original_train_rows,resampled_train_rows,validation_rows,original_target_rows,retained_target_rows,dropped_target_rows,target_share_before,target_share_after,retained_target_source_rows_sha256,accuracy,balanced_accuracy,macro_f1,train_rows_adelie,train_rows_chinstrap,train_rows_gentoo,recall_adelie,recall_chinstrap,recall_gentoo
Chinstrap,1.0,4,knn,30442,275,275,69,54,54,0,0.196364,0.196364,e9d30be7aa1221b1377464dfacded9517d48ef230fc5e97bd82a4645b6f3fb0b,0.971014,0.965079,0.965079,122,54,99,0.966667,0.928571,1.0
Chinstrap,0.75,4,logistic_regression,30443,275,261,69,54,40,14,0.196364,0.153257,6489d9e0112f50cd2e6b3dbb367dce38b43ddf89d7da8a23190e59c22d02d15a,0.884058,0.858095,0.856905,122,40,99,0.9,0.714286,0.96
Chinstrap,0.75,4,knn,30443,275,261,69,54,40,14,0.196364,0.153257,6489d9e0112f50cd2e6b3dbb367dce38b43ddf89d7da8a23190e59c22d02d15a,0.942029,0.91746,0.925789,122,40,99,0.966667,0.785714,1.0
Chinstrap,0.5,4,logistic_regression,30444,275,248,69,54,27,27,0.196364,0.108871,d67fb9eb15eff75768e1159fe13af0314d398f141e72927fd5553ec5a70d10cc,0.927536,0.893651,0.904119,122,27,99,0.966667,0.714286,1.0
Chinstrap,0.5,4,knn,30444,275,248,69,54,27,27,0.196364,0.108871,d67fb9eb15eff75768e1159fe13af0314d398f141e72927fd5553ec5a70d10cc,0.942029,0.904762,0.922035,122,27,99,1.0,0.714286,1.0
Chinstrap,0.25,4,logistic_regression,30445,275,235,69,54,14,40,0.196364,0.059574,73590b912b45a61a0a052d94f70c4dd35d2b5ba2a4fe21a08b6fb81f338a8a83,0.927536,0.880952,0.898843,122,14,99,1.0,0.642857,1.0
Chinstrap,0.25,4,knn,30445,275,235,69,54,14,40,0.196364,0.059574,73590b912b45a61a0a052d94f70c4dd35d2b5ba2a4fe21a08b6fb81f338a8a83,0.927536,0.880952,0.898843,122,14,99,1.0,0.642857,1.0
Chinstrap,1.0,5,logistic_regression,30542,276,276,68,55,55,0,0.199275,0.199275,c9fa109f6f269a143a4c2a23e0e56994e018a6c6fe364fe622bfb00deb3f997d,0.955882,0.935385,0.940392,122,55,99,1.0,0.846154,0.96
Chinstrap,1.0,5,knn,30542,276,276,68,55,55,0,0.199275,0.199275,c9fa109f6f269a143a4c2a23e0e56994e018a6c6fe364fe622bfb00deb3f997d,0.955882,0.947692,0.942555,122,55,99,1.0,0.923077,0.92
Chinstrap,0.75,5,logistic_regression,30543,276,262,68,55,41,14,0.199275,0.156489,a4bd287aaeec860ec1230fc9981a655263a6ee30b95eaa683be9851498c548bb,0.955882,0.935385,0.940392,122,41,99,1.0,0.846154,0.96
Chinstrap,0.75,5,knn,30543,276,262,68,55,41,14,0.199275,0.156489,a4bd287aaeec860ec1230fc9981a655263a6ee30b95eaa683be9851498c548bb,0.955882,0.947692,0.942555,122,41,99,1.0,0.923077,0.92
Chinstrap,0.5,5,logistic_regression,30544,276,249,68,55,28,27,0.199275,0.11245,f051618dd0f7fa37e816dbfa21c8bbcf562f22fef5197345e1915bc9f4ad771b,0.955882,0.935385,0.94715,122,28,99,1.0,0.846154,0.96
Chinstrap,0.5,5,knn,30544,276,249,68,55,28,27,0.199275,0.11245,f051618dd0f7fa37e816dbfa21c8bbcf562f22fef5197345e1915bc9f4ad771b,0.955882,0.947692,0.948486,122,28,99,1.0,0.923077,0.92
Chinstrap,0.25,5,logistic_regression,30545,276,235,68,55,14,41,0.199275,0.059574,8137f6afa0a3bafa1bc16d5656ba5e772acdf50af5013f2f8c6fde8695d975f2,0.941176,0.909744,0.926161,122,14,99,1.0,0.769231,0.96
Chinstrap,0.25,5,knn,30545,276,235,68,55,14,41,0.199275,0.059574,8137f6afa0a3bafa1bc16d5656ba5e772acdf50af5013f2f8c6fde8695d975f2,0.970588,0.961026,0.967869,122,14,99,1.0,0.923077,0.96
